epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:10:13.800,-0.006,0.965,-0.098,6.4430000000000005,-6.239999999999999,-2.1343333333333336,A,bench,heavy,72,16.0
2019-01-11 15:10:13.950,-0.0245,0.96,-0.0945,3.23175,-1.14325,-1.4785,A,bench,heavy,72,16.0
2019-01-11 15:10:14.100,-0.028,0.9595,-0.119,5.45725,-3.049,-4.11575,A,bench,heavy,72,16.0
2019-01-11 15:10:14.250,-0.0409999999999999,0.8400000000000001,-0.1525,13.704,-8.10975,-13.64325,A,bench,heavy,72,16.0
2019-01-11 15:10:14.400,-0.08,0.837,-0.1965,13.272333333333334,-8.008000000000001,-20.386333333333333,A,bench,heavy,72,16.0
2019-01-11 15:10:14.550,-0.12,0.86,-0.2245,12.18,-5.1525,-12.439,A,bench,heavy,72,16.0
2019-01-11 15:10:14.700,-0.1485,0.8935,-0.1865,1.89025,-9.39025,1.128,A,bench,heavy,72,16.0
2019-01-11 15:10:14.850,-0.1305,0.959,-0.154,-3.14025,-16.61575,21.60075,A,bench,heavy,72,16.0
2019-01-11 15:10:15.000,-0.146,1.231,-0.133,-20.284333333333333,-8.048666666666668,2.012333333333333,A,bench,heavy,72,16.0
2019-01-11 15:10:15.150,-0.186,1.496,-0.1505,8.59775,11.63125,-17.0885,A,bench,heavy,72,16.0
2019-01-11 15:10:15.300,-0.1725,0.8945000000000001,-0.1385,0.1372499999999998,9.009,-15.47275,A,bench,heavy,72,16.0
2019-01-11 15:10:15.450,-0.1885,0.886,-0.196,6.1735,3.73475,-0.0765,A,bench,heavy,72,16.0
2019-01-11 15:10:15.600,-0.1905,0.919,-0.198,3.5163333333333333,2.2356666666666665,5.508,A,bench,heavy,72,16.0
2019-01-11 15:10:15.750,-0.176,0.941,-0.2145,-3.97875,0.5185000000000001,8.765,A,bench,heavy,72,16.0
2019-01-11 15:10:15.900,-0.144,0.965,-0.19,-5.0,-2.1645,13.61275,A,bench,heavy,72,16.0
2019-01-11 15:10:16.050,-0.095,0.967,-0.15,-14.98475,-1.936,22.561,A,bench,heavy,72,16.0
2019-01-11 15:10:16.200,-0.034,0.958,-0.113,-23.150666666666663,11.016333333333334,27.906666666666663,A,bench,heavy,72,16.0
